graph_id,n_nodes,precision_A,precision_B,precision_delta,recall_A,recall_B,recall_delta,f1_A,f1_B,f1_delta,jaccard_A,jaccard_B,jaccard_delta,tp_A,tp_B,tp_delta,fp_A,fp_B,fp_delta,fn_A,fn_B,fn_delta
26661,10,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.16666666666666666,0.2727272727272727,0.10606060606060605,2.0,3.0,1.0,5.0,4.0,-1.0,5.0,4.0,-1.0
40299,9,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.16666666666666666,0.07692307692307693,-0.08974358974358973,2.0,1.0,-1.0,5.0,6.0,1.0,5.0,6.0,1.0
16972,10,0.5,0.14285714285714285,-0.35714285714285715,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.4615384615384615,0.14285714285714285,-0.31868131868131866,0.3,0.07692307692307693,-0.22307692307692306,3.0,1.0,-2.0,3.0,6.0,3.0,4.0,6.0,2.0
40846,9,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.2727272727272727,0.16666666666666666,-0.10606060606060605,3.0,2.0,-1.0,4.0,5.0,1.0,4.0,5.0,1.0
1685,8,0.6666666666666666,0.5,-0.16666666666666663,0.6666666666666666,0.5,-0.16666666666666663,0.6666666666666666,0.5,-0.16666666666666663,0.5,0.3333333333333333,-0.16666666666666669,4.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0
37641,9,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.2727272727272727,0.5555555555555556,0.2828282828282829,3.0,5.0,2.0,4.0,2.0,-2.0,4.0,2.0,-2.0
2472,8,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.16666666666666666,0.07692307692307693,-0.08974358974358973,2.0,1.0,-1.0,5.0,6.0,1.0,5.0,6.0,1.0
3267,7,0.6666666666666666,1.0,0.33333333333333337,0.6666666666666666,1.0,0.33333333333333337,0.6666666666666666,1.0,0.33333333333333337,0.5,1.0,0.5,4.0,6.0,2.0,2.0,0.0,-2.0,2.0,0.0,-2.0
37253,9,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.4,0.16666666666666666,-0.23333333333333336,4.0,2.0,-2.0,3.0,5.0,2.0,3.0,5.0,2.0
19115,10,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.4,0.16666666666666666,-0.23333333333333336,4.0,2.0,-2.0,3.0,5.0,2.0,3.0,5.0,2.0
1492,8,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0,0.2727272727272727,0.2727272727272727,0.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
37825,9,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.2727272727272727,0.16666666666666666,-0.10606060606060605,3.0,2.0,-1.0,4.0,5.0,1.0,4.0,5.0,1.0
41621,9,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0,0.2727272727272727,0.2727272727272727,0.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
3373,7,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.5,0.2,-0.3,4.0,2.0,-2.0,2.0,4.0,2.0,2.0,4.0,2.0
14562,10,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.16666666666666666,0.16666666666666666,0.0,2.0,2.0,7.0,5.0,-2.0,7.0,5.0,-2.0
29345,9,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.16666666666666666,0.16666666666666666,0.0,2.0,2.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0
6859,10,0.375,0.375,0.0,0.375,0.375,0.0,0.375,0.375,0.0,0.23076923076923078,0.23076923076923078,0.0,3.0,3.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0
34317,9,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.16666666666666666,0.2727272727272727,0.10606060606060605,2.0,3.0,1.0,5.0,4.0,-1.0,5.0,4.0,-1.0
28677,10,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.4,0.2727272727272727,-0.12727272727272732,4.0,3.0,-1.0,3.0,4.0,1.0,3.0,4.0,1.0
16369,10,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.07692307692307693,0.16666666666666666,0.08974358974358973,1.0,2.0,1.0,6.0,5.0,-1.0,6.0,5.0,-1.0
35755,9,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0.5555555555555556,0.2727272727272727,-0.2828282828282829,5.0,3.0,-2.0,2.0,4.0,2.0,2.0,4.0,2.0
13029,10,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.07692307692307693,0.4,0.3230769230769231,1.0,4.0,3.0,6.0,3.0,-3.0,6.0,3.0,-3.0
31968,9,0.375,0.375,0.0,0.375,0.375,0.0,0.375,0.375,0.0,0.23076923076923078,0.23076923076923078,0.0,3.0,3.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0
15216,10,0.42857142857142855,1.0,0.5714285714285714,0.42857142857142855,1.0,0.5714285714285714,0.42857142857142855,1.0,0.5714285714285714,0.2727272727272727,1.0,0.7272727272727273,3.0,7.0,4.0,4.0,0.0,-4.0,4.0,0.0,-4.0
37713,9,0.2857142857142857,0.5,0.2142857142857143,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.4615384615384615,0.1758241758241758,0.16666666666666666,0.3,0.13333333333333333,2.0,3.0,1.0,5.0,3.0,-2.0,5.0,4.0,-1.0
40091,9,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.4,0.2727272727272727,-0.12727272727272732,4.0,3.0,-1.0,3.0,4.0,1.0,3.0,4.0,1.0
21042,10,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.07692307692307693,0.16666666666666666,0.08974358974358973,1.0,2.0,1.0,6.0,5.0,-1.0,6.0,5.0,-1.0
30831,9,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.16666666666666666,0.4,0.23333333333333336,2.0,4.0,2.0,5.0,3.0,-2.0,5.0,3.0,-2.0
21556,10,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.16666666666666666,0.2727272727272727,0.10606060606060605,2.0,3.0,1.0,5.0,4.0,-1.0,5.0,4.0,-1.0
13779,10,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.16666666666666666,0.16666666666666666,0.0,2.0,2.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0
41912,9,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.2727272727272727,0.07692307692307693,-0.19580419580419578,3.0,1.0,-2.0,4.0,6.0,2.0,4.0,6.0,2.0
26431,10,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.07692307692307693,0.07692307692307693,0.0,1.0,1.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0
45493,9,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0,0.2727272727272727,0.2727272727272727,0.0,3.0,3.0,7.0,4.0,-3.0,7.0,4.0,-3.0
16184,10,0.2857142857142857,0.16666666666666666,-0.11904761904761904,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.15384615384615383,-0.13186813186813187,0.16666666666666666,0.08333333333333333,-0.08333333333333333,2.0,1.0,-1.0,5.0,5.0,0.0,5.0,6.0,1.0
39579,9,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.2727272727272727,0.07692307692307693,-0.19580419580419578,3.0,1.0,-2.0,4.0,6.0,2.0,4.0,6.0,2.0
32427,9,0.42857142857142855,0.16666666666666666,-0.26190476190476186,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.42857142857142855,0.15384615384615383,-0.27472527472527475,0.2727272727272727,0.08333333333333333,-0.1893939393939394,3.0,1.0,-2.0,4.0,5.0,1.0,4.0,6.0,2.0
28128,10,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.07692307692307693,0.2727272727272727,0.19580419580419578,1.0,3.0,2.0,6.0,4.0,-2.0,6.0,4.0,-2.0
26167,10,0.375,0.625,0.25,0.375,0.625,0.25,0.375,0.625,0.25,0.23076923076923078,0.45454545454545453,0.22377622377622375,3.0,5.0,2.0,5.0,3.0,-2.0,5.0,3.0,-2.0
23580,10,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.0,0.4,0.4,0.0,4.0,4.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
2983,7,0.6666666666666666,0.5,-0.16666666666666663,0.6666666666666666,0.5,-0.16666666666666663,0.6666666666666666,0.5,-0.16666666666666663,0.5,0.3333333333333333,-0.16666666666666669,4.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0
13944,10,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.07692307692307693,0.5555555555555556,0.47863247863247865,1.0,5.0,4.0,6.0,2.0,-4.0,6.0,2.0,-4.0
15848,10,1.0,0.7142857142857143,-0.2857142857142857,1.0,0.7142857142857143,-0.2857142857142857,1.0,0.7142857142857143,-0.2857142857142857,1.0,0.5555555555555556,-0.4444444444444444,7.0,5.0,-2.0,0.0,2.0,2.0,0.0,2.0,2.0
26745,10,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.4,0.16666666666666666,-0.23333333333333336,4.0,2.0,-2.0,3.0,5.0,2.0,3.0,5.0,2.0
1898,8,0.5,0.16666666666666666,-0.33333333333333337,0.5,0.16666666666666666,-0.33333333333333337,0.5,0.16666666666666666,-0.33333333333333337,0.3333333333333333,0.09090909090909091,-0.2424242424242424,3.0,1.0,-2.0,3.0,5.0,2.0,3.0,5.0,2.0
